month,moneyNeeded,promoted,moneyCollected,daysSpent,daysRequired,category,coverage
1,187000,False,15536,10,17,Military,492302
7,992000,True,866733,15,14,Medicine,10000
4,274000,False,219295,20,16,Military,10000
2,65000,True,67922,8,5,Humanitarian,462869
1,151000,True,135625,20,29,Humanitarian,10000
9,90000,True,104556,19,22,Military,10000
7,130000,True,118743,3,27,Other,10000
9,811000,True,804682,3,22,Other,10000
10,972000,True,939212,17,23,Humanitarian,380311
7,837000,True,735032,20,5,Humanitarian,494966
6,763000,True,760232,15,12,Military,229717
8,29000,True,30741,2,31,Humanitarian,10000
12,866000,True,844787,19,9,Other,239815
11,100000,False,93738,8,11,Military,10000
3,116000,True,116545,19,24,Military,272570
9,564000,True,660037,4,17,Humanitarian,10000
5,132000,True,140902,19,8,Medicine,213466
5,413000,False,103238,25,7,Humanitarian,10000
3,199000,True,162729,10,16,Other,10000
7,177000,False,76849,9,16,Medicine,10000
4,700000,True,716571,1,4,Military,352602
5,235000,True,258650,27,31,Military,4169
7,933000,False,239754,22,16,Other,103660
11,629000,False,448679,5,25,Military,370551
7,725000,True,616844,22,10,Military,10000
8,502000,True,460038,1,9,Other,266652
12,12000,False,3402,16,20,Other,10000
3,777000,True,654001,22,29,Medicine,228508
10,205000,True,177207,30,22,Medicine,792
9,67000,True,74514,18,23,Military,10000
12,470000,True,430848,1,20,Military,4102865
2,826000,True,715030,30,30,Humanitarian,10000
3,421000,True,396014,23,2,Humanitarian,10000
11,570000,False,476681,25,22,Humanitarian,10000
5,951000,True,973966,1,1,Military,10000
3,132000,True,132292,27,24,Other,10000
4,678000,False,274313,10,3,Other,10000
3,948000,False,781301,23,17,Humanitarian,10000
11,527000,True,551630,8,3,Other,415093
7,122000,False,107004,27,2,Military,10000
10,828000,True,709137,18,10,Other,268869
12,88000,True,71811,29,21,Other,6050
5,963000,True,1013204,7,19,Other,10000
4,231000,True,249035,12,17,Military,10000
10,978000,False,873822,19,29,Other,10000
4,124000,False,73303,27,14,Military,10000
12,468000,True,512154,14,18,Humanitarian,8003
2,95000,True,88824,31,30,Other,186494
10,113000,True,90828,21,11,Medicine,10000
5,957000,True,1143969,21,3,Medicine,10000
8,773000,False,96875,18,28,Humanitarian,330583
8,684000,True,736047,9,16,Other,399962
2,407000,False,124708,26,12,Other,10000
3,713000,True,742061,22,27,Military,10000
8,413000,True,476865,15,7,Military,10000
12,756000,True,689893,5,9,Humanitarian,457196
8,843000,True,934378,23,9,Other,10000
11,641000,False,68635,10,16,Other,213035
1,635000,False,543305,21,27,Medicine,10000
3,786000,False,753030,7,14,Other,419672
3,414000,False,235446,23,4,Other,366612
5,330000,True,284865,11,18,Medicine,441627
6,889000,True,975916,8,18,Medicine,288456
7,741000,False,272492,19,13,Humanitarian,2398
1,673000,True,669322,5,14,Humanitarian,473068
9,881000,True,776353,3,13,Humanitarian,10000
1,915000,False,545723,8,27,Humanitarian,10000
11,532000,True,562609,6,10,Military,321427
4,918000,True,1048348,18,18,Medicine,10000
11,216000,True,247614,26,20,Humanitarian,5987
12,212000,True,182746,25,9,Military,306350
7,555000,True,624951,16,21,Military,10000
11,86000,True,133985,2,5,Military,10000
2,965000,False,109405,15,17,Humanitarian,243234
7,532000,True,444958,10,7,Military,10000
10,316000,True,304514,3,11,Other,497310
6,201000,False,66091,15,18,Other,10000
12,457000,True,475295,27,19,Other,413857
4,970000,True,982419,11,5,Medicine,3064
4,744000,True,706558,31,7,Medicine,166161
1,123000,False,37979,9,8,Medicine,10000
4,723000,True,833846,27,28,Medicine,8999
6,458000,False,15166,3,31,Medicine,248431
5,692000,True,700542,1,1,Military,7918
4,62000,False,13519,1,29,Humanitarian,623835
8,535000,False,79237,16,25,Medicine,10000
1,501000,True,564661,14,9,Humanitarian,10000
12,458000,True,513271,1,8,Medicine,920
1,242000,False,226081,26,29,Medicine,173988
7,877000,True,976724,31,19,Humanitarian,10000
2,944000,False,148813,1,20,Other,159778
12,83000,True,93289,15,25,Medicine,10000
12,947000,False,43630,28,2,Other,8072
12,341000,True,312660,23,15,Other,325983
3,676000,False,371725,6,5,Military,10000
9,587000,True,691960,24,23,Medicine,8699
1,674000,True,752431,6,14,Humanitarian,357101
6,854000,True,912060,27,17,Military,349569
3,325000,True,266676,31,27,Medicine,10000
6,688000,False,615594,10,1,Humanitarian,10000
7,347000,True,398369,11,17,Medicine,468216
7,696000,True,792954,27,25,Other,10000
10,250000,True,263565,1,24,Other,453327
12,471000,True,395789,16,4,Military,10000
12,555000,False,467398,16,30,Humanitarian,332816
9,787000,False,264086,23,9,Other,443223
3,489000,True,458585,3,29,Other,100596
9,854000,True,901973,6,7,Military,291733
3,826000,True,718439,22,28,Humanitarian,10000
2,568000,False,155881,6,7,Medicine,428794
1,989000,False,813875,11,19,Humanitarian,10000
7,589000,True,669617,28,15,Military,207687
10,132000,False,119782,31,11,Other,182700
1,751000,True,804732,29,1,Military,10000
7,482000,True,442932,8,6,Other,10000
11,203000,True,230920,18,1,Other,10000
9,239000,True,283325,6,7,Military,10000
10,273000,False,29958,4,3,Medicine,10000
6,661000,False,19272,3,12,Military,470501
9,403000,False,45218,7,6,Humanitarian,322636
12,164000,True,150351,6,1,Military,10000
3,774000,True,807425,25,30,Military,10000
4,231000,True,191013,29,15,Medicine,470721
10,995000,True,1077138,22,3,Other,10000
7,659000,True,593626,12,11,Other,10000
4,79000,True,85183,6,18,Other,7805
2,220000,True,232497,1,10,Medicine,10000
11,432000,False,362845,20,11,Humanitarian,4338
1,541000,True,629181,17,22,Medicine,306199
9,918000,True,808421,2,30,Other,10000
5,610000,False,341631,14,4,Humanitarian,4861676
2,20000,True,21007,25,16,Other,10000
4,492000,True,539781,23,6,Medicine,10000
3,642000,True,667575,14,15,Military,10000
12,452000,False,305554,14,6,Other,1684
5,899000,False,146112,2,28,Military,303750
2,750000,False,33332,5,10,Medicine,2730099
9,572000,True,666249,19,1,Medicine,154898
2,406000,False,50674,7,26,Medicine,10000
9,338000,False,88805,3,6,Military,10000
9,418000,True,418681,16,26,Other,206923
11,773000,False,692966,28,11,Military,10000
11,887000,False,224968,19,20,Medicine,1829
12,201000,False,104139,14,25,Humanitarian,10000
2,898000,False,639950,8,25,Humanitarian,10000
1,276000,False,162758,6,21,Other,10000
1,131000,True,135171,6,30,Other,10000
6,870000,True,791003,12,13,Humanitarian,10000
5,410000,True,487789,4,19,Humanitarian,10000
7,701000,False,483139,18,19,Other,8660
6,79000,True,81548,18,27,Other,293377
3,897000,True,1064662,17,31,Other,10000
11,316000,True,304111,19,1,Other,4940250
12,197000,True,158492,23,14,Medicine,10000
3,645000,False,341487,1,30,Military,270193
12,659000,True,712761,1,3,Military,10000
7,883000,False,189179,2,8,Humanitarian,4365183
1,918000,False,179682,26,22,Medicine,10000
3,25000,True,26483,2,10,Other,10000
2,187000,False,63628,20,10,Military,6164400
7,579000,True,514756,16,8,Military,274814
12,670000,True,603155,24,8,Other,10000
8,598000,True,578144,10,24,Other,151670
1,562000,True,451215,6,5,Military,383239
4,273000,True,315798,1,1,Military,10000
